count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus,freq
278,2019/11/24 23:27:39.525,0.3520261,50.33496,590.566,1,0,0,100
279,2019/11/24 23:27:39.542,-0.2634892,50.01351,590.5307,1,0,0,100
280,2019/11/24 23:27:39.557,-0.2634892,50.01351,590.5307,1,0,0,100
281,2019/11/24 23:27:39.574,-0.2634892,50.01351,590.5307,1,0,0,100
282,2019/11/24 23:27:39.591,-0.4528404,49.18399,590.5861,1,0,0,100
283,2019/11/24 23:27:39.607,-0.5795845,48.43333,590.7799,1,0,0,100
284,2019/11/24 23:27:39.624,-0.5795845,48.43333,590.7799,1,0,0,100
285,2019/11/24 23:27:39.640,-0.5795845,48.43333,590.7799,1,0,0,100
286,2019/11/24 23:27:39.658,-0.7981867,48.45291,590.9152,1,0,0,100
287,2019/11/24 23:27:39.675,-0.9193436,48.2685,590.8318,1,0,0,100
288,2019/11/24 23:27:39.692,-0.9193436,48.2685,590.8318,1,0,0,100
289,2019/11/24 23:27:39.708,-0.5780399,47.66638,590.6838,1,0,0,100
290,2019/11/24 23:27:39.725,-0.5780399,47.66638,590.6838,1,0,0,100
291,2019/11/24 23:27:39.741,-0.5272769,47.89914,590.63,1,0,0,100
292,2019/11/24 23:27:39.758,-0.5272769,47.89914,590.63,1,0,0,100
293,2019/11/24 23:27:39.774,-0.3952882,47.96024,590.4722,1,0,0,100
294,2019/11/24 23:27:39.790,-0.3952882,47.96024,590.4722,1,0,0,100
295,2019/11/24 23:27:39.807,-0.2725392,48.04857,590.1836,1,0,0,100
296,2019/11/24 23:27:39.823,-0.2725392,48.04857,590.1836,1,0,0,100
297,2019/11/24 23:27:39.840,-0.2725392,48.04857,590.1836,1,0,0,100
298,2019/11/24 23:27:39.857,-0.5785592,48.91121,590.3773,1,0,0,100
299,2019/11/24 23:27:39.873,-0.5785592,48.91121,590.3773,1,0,0,100
300,2019/11/24 23:27:39.890,-0.5589597,49.45887,590.106,1,0,0,100
301,2019/11/24 23:27:39.907,-0.5589597,49.45887,590.106,1,0,0,100
302,2019/11/24 23:27:39.923,-0.5418212,49.78614,589.9327,1,0,0,100
303,2019/11/24 23:27:39.940,-0.2088861,49.55105,589.7145,1,0,0,100
304,2019/11/24 23:27:39.956,-0.2088861,49.55105,589.7145,1,0,0,100
305,2019/11/24 23:27:39.972,-0.2088861,49.55105,589.7145,1,0,0,100
306,2019/11/24 23:27:39.989,-0.06640452,49.85028,589.7781,1,0,0,100
307,2019/11/24 23:27:40.6,-0.7603576,50.70425,589.8781,1,0,0,100
308,2019/11/24 23:27:40.22,-0.7603576,50.70425,589.8781,1,0,0,100
309,2019/11/24 23:27:40.39,-0.7603576,50.70425,589.8781,1,0,0,100
310,2019/11/24 23:27:40.55,-0.5017738,50.23613,589.431,1,0,0,100
311,2019/11/24 23:27:40.72,-0.5671179,49.98055,589.6378,1,0,0,100
312,2019/11/24 23:27:40.89,-0.5671179,49.98055,589.6378,1,0,0,100
313,2019/11/24 23:27:40.105,-0.5671179,49.98055,589.6378,1,0,0,100
314,2019/11/24 23:27:40.122,-0.8251095,50.66262,589.7503,1,0,0,100
315,2019/11/24 23:27:40.139,-1.329,50.83566,589.3929,1,0,0,100
316,2019/11/24 23:27:40.155,-1.329,50.83566,589.3929,1,0,0,100
